"","Subject","NRX","NRXT","PRX","PRXT","FBM","W8","cue_f","cue_t","cue_g","P_Weekly","P_Daily","SRBAI","RR","FHS","FFriend","Devices","FBTime","COND","MDPoint","COND2","PW2","COND3","HS","CONDH"
"98",102,4,1,4,1,5,3,4,1,3,29,1,3,4.625,1.66666666666667,25,2,4,3,4,3,1.48621873132248,2,0.220057328504497,2
"99",103,2,120,4,72,5,3,4,72,1,11,0.3,1,6.875,1,650,2,15,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"100",104,3,720,7,48,5,5,5,24,6,5,0,5,7,3.33333333333333,60,2,8,1,4,0.5,-0.958810222435688,1,1.50858578215733,2
"101",105,3,24,5,5,4,2,4,10,4,6,3,2,6.625,1,450,3,8,1,4,0.5,-0.856934016029097,1,-0.424206898321922,1
"102",106,4,0,4,0,1,1,4,0,1,29,1,1,9,1,600,1,8,3,4,3,1.48621873132248,2,-1.06847112514834,1
"103",107,1,168,4,48,5,7,4,72,2,5,1,1,4.25,1,77,2,10,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"104",108,2,720,4,360,5,7,3,360,3,1,0,1,5.125,1,450,2,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"105",109,4,24,4,24,1,1,4,24,2,1,0,2,6.125,1,30,1,2,1,4,0.5,-1.36631504806205,1,-0.424206898321922,1
"106",110,1,240,5,96,7,4,4,96,5,11,1,4.5,6.125,2.66666666666667,75,2,3,2,4,2,-0.347552983996146,1,1.18645366874412,2
"107",111,5,24,6,1,6,4,4,3,1,27,10,5.75,8.375,2.66666666666667,1020,4,12,3,4,3,1.2824663185093,2,1.99178395227715,2
"108",112,6,48,6,48,6,4,4,0,4,21,5,3.75,7.625,2,327,2,6,3,4,3,0.671209080069758,2,0.70325549862431,2
"109",113,3,576,5,12,5,2,4,576,4,11,0,1,7.25,2,15,2,8,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"110",114,4,24,4,24,2,1,4,24,1,29,1,3.5,3.75,2.66666666666667,500,1,12,3,4,3,1.48621873132248,2,0.542189441917706,2
"111",115,4,52,4,51,2,1,4,50,4,5,0,1,7.25,1,1248,2,7,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"112",116,4,1,5,1,4,2,4,1,2,29,2,4,5.5,2.66666666666667,866,2,12,3,4,3,1.48621873132248,2,0.864321555330915,2
"113",117,4,240,4,240,3,4,4,240,2,1,2,1.75,3.5,1,200,2,15,1,4,0.5,-1.36631504806205,1,-0.585272955028526,1
"114",118,4,2,4,2,1,1,4,2,4,21,5,4,4.875,1,300,3,13,3,4,3,0.671209080069758,2,0.864321555330915,2
"115",119,2,72,4,24,5,3,4,24,4,18,0,2,5.875,1,400,2,10,3,4,2,0.365580460849987,2,-0.424206898321922,1
"116",120,4,48,4,48,2,4,4,48,2,24,0.5,2,6,1,614,2,15,3,4,3,0.976837699289529,2,-0.424206898321922,1
"117",121,3,96,4,24,2,1,4,0,1,11,0,1,7.5,1,436,2,9,2,4,2,-0.347552983996146,1,-1.06847112514834,1
"118",122,6,264,7,1,1,1,4,1,4,26,1,4,5.625,1,279,2,8,3,4,3,1.18059011210271,2,0.864321555330915,2
"119",123,3,72,5,4,6,4,5,3,5,10,2,1,6,3.33333333333333,311,1,16,2,4,2,-0.449429190402736,1,-1.06847112514834,1
"120",124,5,28,7,1,7,7,7,1,7,26,4,6.75,7,6.66666666666667,2000,3,6,3,4,3,1.18059011210271,2,2.63604817910357,2
"121",125,4,1,4,1,5,1,4,1,4,9,2,2.25,5.75,1,129,2,8,2,4,0.5,-0.551305396809326,1,-0.263140841615317,1
"122",126,4,1,4,1,4,3,4,1,4,29,1,4,3.375,2.66666666666667,55,2,7,3,4,3,1.48621873132248,2,0.864321555330915,2
"123",127,4,2,4,1,3,2,4,1,1,10,3,5.25,6.875,2.33333333333333,600,2,9,2,4,2,-0.449429190402736,1,1.66965183886394,2
"124",128,4,4,6,1,5,4,4,3,5,19,4,2.5,6,1.66666666666667,258,3,11,3,4,2,0.467456667256577,2,-0.102074784908712,1
"125",130,2,168,5,24,6,6,4,48,4,5,0,2.75,7,2.33333333333333,300,2,10,1,4,0.5,-0.958810222435688,1,0.0589912717978921,2
"126",132,3,24,4,12,5,5,4,12,4,26,1,2,5.125,2.33333333333333,85,2,5,3,4,3,1.18059011210271,2,-0.424206898321922,1
"127",133,4,1,6,1,5,4,5,1,4,6,2,3,4.25,4.33333333333333,50,2,1,1,4,0.5,-0.856934016029097,1,0.220057328504497,2
"128",134,6,1,7,1,5,2,5,24,5,1,0,1,8,1,738,2,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"129",135,4,31,5,2,5,4,3,28,5,29,1,3.5,6,1,20,2,5,3,4,3,1.48621873132248,2,0.542189441917706,2
"130",136,6,5,4,27,5,4,5,2,5,28,4,4.75,5,4.33333333333333,18,2,4,3,4,3,1.38434252491589,2,1.34751972545073,2
"131",137,3,120,6,14,5,4,4,12,4,28,1,6,7,2,1200,2,10,3,4,3,1.38434252491589,2,2.15285000898375,2
"132",138,1,96,7,36,5,5,4,36,5,5,0,1,3.375,1,310,2,5,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"133",139,3,120,6,24,5,4,4,48,3,11,0,1.25,5.875,2,125,3,7,2,4,2,-0.347552983996146,1,-0.907405068441735,1
"134",140,1,96,7,2,5,5,4,24,4,29,1,5.25,6.25,3,700,3,7,3,4,3,1.48621873132248,2,1.66965183886394,2
"135",141,3,48,5,5,5,4,4,24,4,5,0,1.25,6.875,1,1000,2,10,1,4,0.5,-0.958810222435688,1,-0.907405068441735,1
"136",142,3,51,6,2,5,4,4,2,4,7,3,6,6.875,3.33333333333333,2000,1,11,1,4,0.5,-0.755057809622507,1,2.15285000898375,2
"137",143,5,29,6,26,5,2,4,1,4,10,3,4,6.375,4,1115,3,10,2,4,2,-0.449429190402736,1,0.864321555330915,2
"138",144,2,5,6,0,6,5,4,0,4,18,1,2.5,8.5,2,125,2,6,3,4,2,0.365580460849987,2,-0.102074784908712,1
"139",145,3,78,7,5,5,3,4,24,2,18,1,3.5,7.5,1.33333333333333,65,3,11,3,4,2,0.365580460849987,2,0.542189441917706,2
"140",146,3,12,6,2,6,4,5,1,5,10,2,3.25,6.625,3,545,2,10,2,4,2,-0.449429190402736,1,0.381123385211101,2
"141",148,2,348,4,12,3,7,3,168,5,5,0,1.25,6.875,1,650,2,12,1,4,0.5,-0.958810222435688,1,-0.907405068441735,1
"142",149,4,24,4,3,5,6,4,72,6,1,0,1,6.875,1,1000,4,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"143",151,1,60,4,1,6,6,4,6,6,28,7,7,7.25,2,85,2,7,3,4,3,1.38434252491589,2,2.79711423581017,2
"144",152,2,336,7,48,7,1,5,48,5,18,1,1.75,7.375,1,75,2,10,3,4,2,0.365580460849987,2,-0.585272955028526,1
"145",153,4,1,4,1,4,1,4,1,1,29,1,1,8,1,205,3,10,3,4,3,1.48621873132248,2,-1.06847112514834,1
"146",154,6,4,4,4,3,2,4,6,4,28,1,2,7.25,2,300,2,10,3,4,3,1.38434252491589,2,-0.424206898321922,1
"147",155,4,78,4,78,3,2,4,78,3,5,0,1,5.375,1,300,2,5,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"148",156,4,2,6,2,5,3,4,5,2,29,3,5.75,6.125,4.66666666666667,190,1,10,3,4,3,1.48621873132248,2,1.99178395227715,2
"149",157,7,1,7,1,7,6,6,1,6,19,4,4,6.875,2,264,3,7,3,4,2,0.467456667256577,2,0.864321555330915,2
"150",158,3,121,5,48,5,5,4,6,3,11,1,1.75,5.875,1,550,0,16,2,4,2,-0.347552983996146,1,-0.585272955028526,1
"151",159,4,24,5,12,3,2,4,12,3,13,1,3,5.375,2.66666666666667,113,2,14,2,4,2,-0.143800571182965,1,0.220057328504497,2
"152",160,3,36,5,6,6,3,4,6,1,29,1,6,5.375,1,178,3,13,3,4,3,1.48621873132248,2,2.15285000898375,2
"153",161,3,72,4,10,3,1,4,10,5,5,0,3.5,6.5,1.66666666666667,360,3,10,1,4,0.5,-0.958810222435688,1,0.542189441917706,2
"154",162,3,168,4,48,5,5,4,48,3,11,1,3,4.125,1,365,2,10,2,4,2,-0.347552983996146,1,0.220057328504497,2
"155",163,3,94,5,2,5,4,4,48,2,11,0,3,3.875,1,200,4,5,2,4,2,-0.347552983996146,1,0.220057328504497,2
"156",164,2,168,4,24,5,4,4,24,3,5,0,1.5,4.875,1.66666666666667,125,2,2,1,4,0.5,-0.958810222435688,1,-0.746339011735131,1
"157",165,4,2,4,2,2,1,4,2,2,6,2,2,6.125,1.33333333333333,180,3,8,1,4,0.5,-0.856934016029097,1,-0.424206898321922,1
"158",166,2,120,7,24,7,6,4,24,1,23,1,1,7.375,1,1200,2,14,3,4,3,0.874961492882938,2,-1.06847112514834,1
"159",167,4,0,4,0,1,1,4,0,1,26,1,2,4.875,1,120,1,10,3,4,3,1.18059011210271,2,-0.424206898321922,1
"160",168,3,168,4,120,2,2,4,120,4,5,0,2,5.75,1.33333333333333,600,1,10,1,4,0.5,-0.958810222435688,1,-0.424206898321922,1
"161",169,2,120,6,3,5,4,4,3,4,1,0,1,4.625,1,250,3,10,1,4,0.5,-1.36631504806205,1,-1.06847112514834,1
"162",170,4,48,5,4,6,2,4,24,1,23,1,3.5,6.25,1.33333333333333,125,1,7,3,4,3,0.874961492882938,2,0.542189441917706,2
"163",171,3,96,7,24,5,3,4,0,4,5,1,2.5,8.75,1,250,2,10,1,4,0.5,-0.958810222435688,1,-0.102074784908712,1
"164",172,4,2,4,4,3,2,5,2,5,29,1,2.5,6.375,2,61,2,2,3,4,3,1.48621873132248,2,-0.102074784908712,1
"165",173,1,178,1,178,5,5,4,54,2,1,0,1.5,7,1,196,3,13,1,4,0.5,-1.36631504806205,1,-0.746339011735131,1
"166",174,3,48,6,3,6,6,4,5,2,6,2,5.25,7,3.66666666666667,214,3,5,1,4,0.5,-0.856934016029097,1,1.66965183886394,2
"167",175,2,120,4,24,7,4,4,24,3,26,1,3.75,8.375,4,501,3,11,3,4,3,1.18059011210271,2,0.70325549862431,2
"168",176,3,72,5,6,5,6,4,2,4,6,1.5,4.5,6.625,2.66666666666667,249,2,8,1,4,0.5,-0.856934016029097,1,1.18645366874412,2
"169",177,2,96,4,48,5,2,5,48,2,18,1,2,7.375,1,90,1,10,3,4,2,0.365580460849987,2,-0.424206898321922,1
"170",178,4,1,4,1,4,2,4,1,4,18,1,2,6,2,236,2,7,3,4,2,0.365580460849987,2,-0.424206898321922,1
"171",179,6,1,7,1,7,7,7,1,7,27,5,6.25,6.5,4,250,2,5,3,4,3,1.2824663185093,2,2.31391606569036,2
"172",180,4,3,5,1,4,1,4,0,4,21,5,5,4.75,4.33333333333333,441,2,11,3,4,3,0.671209080069758,2,1.50858578215733,2
"173",181,2,32,6,3,3,3,4,4,4,14,3,5,6.25,3.66666666666667,50,2,10,2,4,2,-0.0419243647763746,1,1.50858578215733,2
"174",182,3,50,7,48,3,4,5,18,3,29,1,3,6,2,2091,4,5,3,4,3,1.48621873132248,2,0.220057328504497,2
"175",183,4,1,4,1,1,1,4,1,4,28,6,3,5.5,2,50,2,20,3,4,3,1.38434252491589,2,0.220057328504497,2
"176",184,5,48,5,12,5,4,3,96,3,23,1,2.25,5.75,2,85,2,10,3,4,3,0.874961492882938,2,-0.263140841615317,1
"177",185,4,168,4,168,5,1,4,168,2,5,0,1,6.75,2,1260,2,10,1,4,0.5,-0.958810222435688,1,-1.06847112514834,1
"178",186,5,0,4,24,3,3,4,24,1,10,1.5,4.25,6.625,2.33333333333333,500,1,19,2,4,2,-0.449429190402736,1,1.02538761203752,2
"179",187,4,1,7,1,4,2,4,2,5,29,5,1,7.125,2.33333333333333,2000,2,8,3,4,3,1.48621873132248,2,-1.06847112514834,1
"180",188,2,336,5,72,3,6,5,48,5,18,0.5,1.5,5,1.33333333333333,106,2,11,3,4,2,0.365580460849987,2,-0.746339011735131,1
"181",189,4,1,5,1,6,3,5,1,5,25,5,2,8.25,1.33333333333333,1000,3,10,3,4,3,1.07871390569612,2,-0.424206898321922,1
"182",190,4,1,4,24,1,1,4,0,4,5,0,4,6.125,1,500,2,14,1,4,0.5,-0.958810222435688,1,0.864321555330915,2
"183",191,6,1,6,2,6,2,6,218,6,8,4,5.5,6.875,4,200,2,5,2,4,0.5,-0.653181603215917,1,1.83071789557054,2
"184",192,4,1,4,1,4,5,5,1,2,29,1,2.5,7,2,1200,2,10,3,4,3,1.48621873132248,2,-0.102074784908712,1
"185",193,3,48,4,24,5,4,4,24,4,29,1,2.5,7.375,1.33333333333333,1116,2,10,3,4,3,1.48621873132248,2,-0.102074784908712,1
"186",194,4,28,5,2,5,2,4,48,2,29,1,3,7.75,3,3000,2,13,3,4,3,1.48621873132248,2,0.220057328504497,2
"187",195,2,744,4,528,5,6,3,864,4,2,0,1.75,7.25,1,510,1,14,1,4,0.5,-1.26443884165546,1,-0.585272955028526,1
"188",196,1,1440,4,48,5,1,3,336,5,11,1,1.25,5.125,1,371,2,10,2,4,2,-0.347552983996146,1,-0.907405068441735,1
"189",197,1,4800,5,336,3,7,4,720,2,1,0,1.25,7.625,2,570,2,15,1,4,0.5,-1.36631504806205,1,-0.907405068441735,1
"190",198,1,336,7,48,7,6,4,24,4,11,0,3.5,6.5,2,1118,3,13,2,4,2,-0.347552983996146,1,0.542189441917706,2
"191",199,4,24,4,24,3,7,4,48,1,18,1,2,5.375,1,127,1,8,3,4,2,0.365580460849987,2,-0.424206898321922,1
